NiN 2 kode;FP;SP;TKode;HTGKode;HTKode;GTKode
T27-2;4;3;C-PE-NA;NA-T;T-G-01;T-G-01-12
T27-4;2;4;C-PE-NA;NA-T;T-G-01;T-G-01-13
T27-8;1;3;C-PE-NA;NA-T;T-G-01;T-G-01-14
T27-6,7;0;4;C-PE-NA;NA-T;T-G-01;T-G-01-15
T27-1,3;1;4;C-PE-NA;NA-T;T-G-01;T-G-01-16
T27-2,4,5;1;4;C-PE-NA;NA-T;T-G-01;T-G-01-17
T27-1,3;0;4;C-PE-NA;NA-T;T-G-01;T-G-01-18
T29-3;4;4;C-PE-NA;NA-T;T-G-01;T-G-01-19
T29-10;3;3;C-PE-NA;NA-T;T-G-01;T-G-01-20
T29-4;2;4;C-PE-NA;NA-T;T-G-01;T-G-01-21
T29-4;1;4;C-PE-NA;NA-T;T-G-01;T-G-01-22
T29-1;4;4;C-PE-NA;NA-T;T-G-01;T-G-01-23
T29-2;0;4;C-PE-NA;NA-T;T-G-01;T-G-01-24
T29-2;2;4;C-PE-NA;NA-T;T-G-01;T-G-01-25
T29-2;0;4;C-PE-NA;NA-T;T-G-01;T-G-01-26
T26-7;4;4;C-PE-NA;NA-T;T-G-01;T-G-01-27
ny;-;;C-PE-NA;NA-T;T-G-01;T-G-01-28
ny;-;;C-PE-NA;NA-T;T-G-01;T-G-01-29
ny;-;;C-PE-NA;NA-T;T-G-01;T-G-01-30
T26-5,6;2;4;C-PE-NA;NA-T;T-G-01;T-G-01-31
ny;-;;C-PE-NA;NA-T;T-G-01;T-G-01-32
T26-1;2;4;C-PE-NA;NA-T;T-G-01;T-G-01-33
T26-3;2;4;C-PE-NA;NA-T;T-G-01;T-G-01-34
ny;-;;C-PE-NA;NA-T;T-G-01;T-G-01-35
T26-5,6;1;4;C-PE-NA;NA-T;T-G-01;T-G-01-36
ny;-;;C-PE-NA;NA-T;T-G-01;T-G-01-37
T26-1;1;4;C-PE-NA;NA-T;T-G-01;T-G-01-38
T26-3;1;4;C-PE-NA;NA-T;T-G-01;T-G-01-39
ny;-;;C-PE-NA;NA-T;T-G-01;T-G-01-40
T25-4;2;4;C-PE-NA;NA-T;T-G-01;T-G-01-41
T25-4;1;4;C-PE-NA;NA-T;T-G-01;T-G-01-42
T25-3;2;4;C-PE-NA;NA-T;T-G-01;T-G-01-43
T25-3;1;4;C-PE-NA;NA-T;T-G-01;T-G-01-44
T25-2;2;4;C-PE-NA;NA-T;T-G-01;T-G-01-45
